id,description,anger,fear,surprise,sadness,joy,disgust,envy,jealousy,other
1.27464892091699E+018,"#Tönnies, #Schweden, zweite Welle in #Israel an Schulen: #Corona-Leugner behaupten, die Pandemie sei ""Fake"" oder ""vorbei"", während ihre Behauptungen in Echtzeit von der Realität widerlegt werden. https://t.co/SbxpzW1QU5 #Covididioten #COVID__19 #Pandemie #RKI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27442497388148E+018,"Erfahrung in Israel zeigt, wie schnell es 2. Welle geben kann. Besonders besorgniserregend ist Anteil von 40% Kindern an den Infizierten. Das zeigt , wie unwahrscheinlich es ist, dass im Herbst regulärer Unterricht mit 30 Kindern/Klasse durchzuhalten ist https://t.co/Pg5q4jOHhs",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27280860541115E+018,"Wichtige Einordnung! @real_wildangel M.E. bleibt sich hier einer der Urväter der „Antideutschen“ treu in der Projektion deutscher Schuld auf Araber/Muslime, um als quasi Bessermensch jeglichen Blick auf die politische Situation in Israel-Palästina als #Antisemitismus zu denunzier https://t.co/sy05GFkOOR",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27279458108885E+018,"Keine heiße Luft: Ein Forschungsteam aus Israel gewinnt Strom aus Luftfeuchtigkeit. In einem Test ist das mit einer Kombination aus Metallen gelungen, wenn die Luftfeuchtigkeit hoch genug war. Hier erfährst du mehr: Bild: Pixabay\nhttps://t.co/yc8stcQwtE https://t.co/yc8stcQwtE https://t.co/SPAoXKD3GF",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27259109737887E+018,"Pnina Tamano-Shata war die erste Frau äthiopischer Herkunft in der Knesset – nun ist sie seit dem 17. Mai auch die erste Ministerin Israels, die aus Äthiopien stammt. Die 39-Jährige ist für Einwanderung und Integration zuständig. https://t.co/2fXTuB4Owg https://t.co/GctosKbKkQ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27240724307874E+018,"Höre, Israel, der HERR ist unser Gott, der HERR allein!\nUnd du sollst den HERRN, deinen Gott, lieb haben von ganzem Herzen, von ganzer Seele und mit all deiner Kraft!\n\nhttps://t.co/Z4qY40HL00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27146776096346E+018,"Mal wieder die ganze #Rassismus-#Heuchelei in Reinkultur!\nDer neue #Antisemitismus nennt sich erst #BDS, jetzt #BlackLivesMattter. Für ihren #Judenhaß, den Haß auf #Israel erfinden sie ""Flüchtlinge der 3. Generation"", spekulieren auf die Dummheit. \nOpfer der Bildungskatastrophe! https://t.co/xjucwTXimm",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27146755807239E+018,Maas in Israel und Jordanien: Diplomatie ohne Preisschild https://t.co/nX2FNMby6x via @faznet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27145991286283E+018,"Die Annexion von Gebieten des Westjordanlandes wäre eine Belastung der Beziehungen zwischen der EU und Israel und auch Deutschlands und Israels, weil Israel damit einen klaren Völkerrechtsverstoß beginge. Mein Interview @badischezeitung (Paywall) 1/2 https://t.co/hnEl1rFdlV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.27110852320057E+018,@UKinJerusalem Stop support aparrtheid israel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
